TCGA-2H-A9GK-01A	TCGA-LN-A4A4-01A	TCGA-L5-A4OI-01A	TCGA-L5-A4OM-01A	TCGA-L5-A4OG-01A	TCGA-L5-A88Y-01A	TCGA-L5-A4OR-11A	TCGA-R6-A6XQ-01B	TCGA-ZR-A9CJ-01B	TCGA-L5-A8NW-01A	TCGA-S8-A6BV-01A	TCGA-2H-A9GM-01A	TCGA-LN-A4A5-01A	TCGA-LN-A7HY-01A	TCGA-2H-A9GL-01A	TCGA-IG-A3YA-01A	TCGA-JY-A6FB-01A	TCGA-JY-A938-01A	TCGA-LN-A49Y-01A	TCGA-LN-A5U6-01A	TCGA-L5-A88S-01A	TCGA-JY-A6FD-01A	TCGA-LN-A4A1-01A	TCGA-JY-A6FA-01A	TCGA-JY-A93C-01A	TCGA-LN-A49O-01A	TCGA-L7-A6VZ-01A	TCGA-L5-A88Z-01A	TCGA-R6-A6DN-01B	TCGA-JY-A6FH-01A	TCGA-L5-A8NU-01A	TCGA-L5-A4OG-11A	TCGA-2H-A9GG-01A	TCGA-IG-A625-01A	TCGA-LN-A49U-01A	TCGA-V5-A7RE-01A	TCGA-Q9-A6FW-01A	TCGA-2H-A9GR-01A	TCGA-VR-A8ER-01A	TCGA-IG-A97H-01A	TCGA-IG-A3I8-01A	TCGA-L5-A8NL-01A	TCGA-LN-A7HZ-01A	TCGA-VR-A8ET-01A	TCGA-L5-A88T-01A	TCGA-L5-A43E-01A	TCGA-IG-A4QS-01A	TCGA-IG-A5B8-01A	TCGA-VR-A8EW-01A	TCGA-L5-A8NQ-01A	TCGA-IC-A6RE-01A	TCGA-VR-A8EP-01A	TCGA-IG-A97I-01A	TCGA-JY-A93D-01A	TCGA-R6-A8WC-01A	TCGA-L5-A8NJ-01A	TCGA-L5-A8NE-01A	TCGA-R6-A8W5-01B	TCGA-L5-A8NS-01A	TCGA-R6-A6L4-01A	TCGA-R6-A6Y0-01B	TCGA-L5-A4OQ-11A	TCGA-LN-A49X-01A	TCGA-LN-A9FP-01A	TCGA-VR-A8EX-01A	TCGA-L5-A4ON-01A	TCGA-VR-A8EO-01A	TCGA-LN-A49M-01A	TCGA-LN-A8I0-01A	TCGA-V5-AASX-01A	TCGA-LN-A49S-01A	TCGA-Z6-A8JD-01A	TCGA-L5-A88V-01A	TCGA-IG-A7DP-01A	TCGA-KH-A6WC-01A	TCGA-JY-A93E-01A	TCGA-V5-A7RC-06A	TCGA-VR-A8EY-01A	TCGA-2H-A9GJ-01A	TCGA-LN-A7HX-01A	TCGA-VR-AA4D-01A	TCGA-L5-A893-01A	TCGA-IC-A6RF-11A	TCGA-2H-A9GI-01A	TCGA-Z6-AAPN-01A	TCGA-LN-A8I1-01A	TCGA-LN-A49W-01A	TCGA-V5-AASW-01A	TCGA-IG-A8O2-01A	TCGA-V5-A7RC-01B	TCGA-VR-A8Q7-01A	TCGA-JY-A939-01A	TCGA-L5-A4OJ-11A	TCGA-L5-A4OX-01A	TCGA-L5-A4OU-01A	TCGA-IC-A6RE-11A	TCGA-R6-A8WG-01A	TCGA-L5-A8NV-01A	TCGA-L5-A8NF-01A	TCGA-Z6-A9VB-01A	TCGA-L5-A4OP-01A	TCGA-L5-A8NH-01A	TCGA-LN-A7HW-01A	TCGA-L7-A56G-01A	TCGA-LN-A7HV-01A	TCGA-V5-A7RE-11A	TCGA-IG-A5S3-01A	TCGA-L5-A4OT-01A	TCGA-L5-A4OH-01A	TCGA-L5-A8NR-01A	TCGA-JY-A6FE-01A	TCGA-IG-A4P3-01A	TCGA-IG-A3QL-01A	TCGA-Z6-A8JE-01A	TCGA-RE-A7BO-01A	TCGA-V5-AASX-11A	TCGA-XP-A8T6-01A	TCGA-IG-A3YB-01A	TCGA-VR-A8EQ-01A	TCGA-LN-A9FQ-01A	TCGA-IG-A50L-01A	TCGA-LN-A4A3-01A	TCGA-IC-A6RF-01A	TCGA-2H-A9GO-01A	TCGA-L5-A4OS-01A	TCGA-LN-A9FR-01A	TCGA-L5-A8NG-01A	TCGA-LN-A9FO-01A	TCGA-L5-A8NM-01A	TCGA-L5-A88W-01A	TCGA-L5-A8NT-01A	TCGA-L5-A891-01A	TCGA-VR-A8EU-01A	TCGA-JY-A93F-01A	TCGA-L5-A8NI-01A	TCGA-R6-A6KZ-01A	TCGA-R6-A8W8-01B	TCGA-R6-A6XG-01B	TCGA-LN-A49P-01A	TCGA-LN-A8HZ-01A	TCGA-LN-A4A9-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A4A8-01A	TCGA-2H-A9GF-01A	TCGA-L5-A4OF-11A	TCGA-L5-A4OJ-01A	TCGA-L5-A4OO-11A	TCGA-L5-A43C-01A	TCGA-XP-A8T8-01A	TCGA-2H-A9GN-01A	TCGA-LN-A5U5-01A	TCGA-R6-A6DQ-01B	TCGA-2H-A9GH-01A	TCGA-JY-A6FG-01A	TCGA-LN-A5U7-01A	TCGA-IG-A51D-01A	TCGA-IG-A3YC-01A	TCGA-LN-A4MQ-01A	TCGA-L5-A43J-01A	TCGA-L5-A4OE-01A	TCGA-S8-A6BW-01A	TCGA-V5-A7RB-01A	TCGA-L5-A43C-11A	TCGA-M9-A5M8-01A	TCGA-VR-AA4G-01A	TCGA-L5-A8NK-01A	TCGA-V5-AASV-01A	TCGA-L5-A8NN-01A	TCGA-IG-A6QS-01A	TCGA-L5-A4OO-01A	TCGA-VR-AA7I-01A	TCGA-L5-A4OW-01A	TCGA-2H-A9GQ-01A
SLC2A1	4.645304778	6.58627062	5.570255462	6.763543	6.237161	5.737955	2.347973	5.019388372	6.788251	6.306899	6.099459	4.751172272	4.665603883	5.258154238	3.623583071	5.647852929	3.996228	7.113597433	6.350319268	8.704398	5.472512633	8.125692	8.220071	7.544062	3.791549204	8.317765	4.385473	6.642399145	5.861048	6.830935	2.771367	2.764843753	3.026151432	7.435397	8.127747	6.159438	5.826607	4.163879455	5.1258	7.902655032	5.669734	3.212940691	5.913316	6.888109393	6.040206428	5.561949561	4.125481805	8.740068862	8.309788	6.12385384	4.192395571	6.063333404	8.476797875	3.132546	6.457441	6.384832511	4.844102	5.579257	6.923918779	5.733398	5.701557	2.857596	7.181691	5.415157	7.170558145	6.015377	4.399435547	8.92203	8.68257914	5.394248	7.863985	8.358351631	5.020769	3.10620353	5.505327	4.492108	7.435337	6.969673	4.878284	8.351446	5.969425754	5.207463453	8.610342648	6.41674141	5.632836	6.679982728	7.440703697	6.559217	6.620421	8.87217	6.489786379	3.073782659	2.716263863	4.856449062	4.672074472	5.545252938	6.376736	4.104522277	4.124564299	6.919297501	7.045012	4.928469382	7.895735	6.899991	10.08087	3.717828875	5.31312961	3.747933041	6.2731898	7.4708699	5.125201404	6.711101215	7.354016	6.615045119	4.832748	3.799518	8.383077998	6.531762	5.347497	6.753027	7.692473528	7.02830365	7.711375	2.338914015	3.499803	7.680841	4.522632998	7.266332464	6.152792	7.928277	6.792238558	6.237299	8.013255	8.519208521	4.389137	4.238961222	4.217395	4.952458	6.273652	8.264208	10.545128189	7.293398321	5.686678111	5.615047	3.14867	4.686628	2.477525851	4.162866	6.81112976	5.422132949	6.25654	3.155787639	4.977831688	8.529471	7.626737014	6.782451	5.789164613	7.932336821	7.869715	6.601096	7.214291	5.025855	1.307114	6.389946614	7.168648218	5.933992436	7.055633219	2.170344229	7.193667078	5.263379146	7.464408053	5.826912693	3.59113571
SPINK1	7.641820741	0.22927181	2.853773375	0.9059293	5.321206	3.106477	7.057505	7.069004062	8.141917	6.801938	4.088592	6.843595413	0.011663013	0.062238035	7.692822235	0.392111553	5.978522	4.803185272	0.668679661	0.8198464	0.143590363	1.308966	0.4121229	0.07285125	7.311800675	0.3767776	7.463914	0.86587354	0.9804375	5.471709	9.400123	8.220180206	7.663325148	0.1134108	0.2702	6.002153	7.201065	6.523516689	2.128362	1.078257144	0.1964582	6.163413014	0.04431661	0.72691263	4.658743136	5.74809853	6.64181836	0.759613089	0.7332264	0.036422496	8.047860647	0.896241539	0.582609271	5.735386	4.449888	5.279687107	4.16555	7.123664	7.617167279	5.153972	5.633569	0.335768	0.1130095	1.080802	0.118700125	3.280636	3.311374027	0.01052353	0.761051258	2.648058	1.78636	0.303745632	2.564777	7.538682046	0	7.569743	0.03355175	0.1170142	5.588957	0.5507187	7.296981431	5.193375265	1.320283311	8.262206089	0.2481121	0.06306767	0.46736991	6.918395	0.6508814	0.0892262	0.305808654	7.465037445	6.10004092	4.269068894	8.134935802	0.995105038	7.684006	8.269058731	8.219760905	0.434643638	0.3166887	6.411083164	0.08727691	0.662569	0.02882843	8.729432302	1.025159852	5.597518357	6.258909905	2.704988436	0.131522054	0.191318739	0.4686434	0.930462713	7.701011	3.571315	0.08168555	0.1817224	7.414811	0.8328662	0.270262192	0.085372453	0.09849061	9.866814714	7.806451	0.05069988	7.003204008	1.04553052	6.132024	0.9593739	1.849972699	2.06576	0.1482572	0.910505818	4.281276	9.100907583	2.69405	1.112388	0.793454	0.1192198	1.207663504	1.690429569	0.870944924	2.86237	8.580576	7.269375	5.489429023	7.811489	0.234369031	7.172474651	2.525121	8.49546615	4.791014788	0.9073446	0.094664128	0.3937123	0.668287658	0.013584062	0.2150274	6.542292	0.0463868	7.099744	6.513732	5.184633701	0.587318094	0.318675126	0.167698457	8.869677708	0.102548184	1.674711859	0.637713935	6.790823938	1.696495876
EFS	0.771748907	6.423612101	0.449977822	4.765599	1.950628	2.216414	0.8506301	2.196902986	1.864427	3.441203	1.361349	1.626928215	4.533066606	4.817899515	1.190764109	4.694076713	0.6258294	0.888635875	4.813574874	4.437554	3.299516155	3.751485	4.582268	4.322804	1.114227467	3.282323	0.4308727	4.699527278	0.5186892	1.004734	1.987182	1.886791297	1.084614437	4.101681	4.848702	0.2443829	2.523484	1.138835265	4.769119	4.433845318	4.503395	2.37146841	4.412488	2.709138932	4.238917817	0.299795042	1.20677146	3.775903543	4.826043	4.322479683	1.034323039	5.641617627	4.509988182	1.832385	0.5056015	0.218278231	0.502375	1.109693	1.777551695	3.334717	4.028175	3.408839	3.630287	3.840965	4.738390121	0.8077656	4.962261632	3.747217	4.238409292	0.5784338	3.988034	4.206439732	1.453391	1.768320091	4.692113	1.216918	4.895424	3.797678	0.1850843	4.201997	0.664908279	2.424185535	4.049115377	0.315183655	2.260498	4.508330805	4.488939391	0.3561785	4.400843	5.094962	0.610522383	1.44563769	2.068236448	0.393805469	0.752033434	4.382760154	0.5683591	1.584816841	0.559161743	4.700101047	0.4076158	0.517330366	4.677773	4.561503	4.083278	0.296919177	4.081120906	1.59150116	0.547215674	1.128662481	3.934729346	4.838523728	4.117658	5.040579622	0.5845323	0.1678485	4.553870183	4.320976	0.5307282	5.823462	3.467896025	4.317209781	4.172699	0.518785489	1.256335	3.893145	1.075159968	3.887035213	0.6469373	3.629441	1.84383469	0.5435077	2.937297	3.985690862	1.526185	1.606900203	1.473305	0.3496118	3.64334	4.702054	4.001947399	4.965754433	4.333802585	0.9284851	1.193476	0.4612288	2.416896661	2.040801	4.839967385	1.140507683	3.431567	0.961379173	0.973492464	4.858582	4.351950436	3.615857	4.034569705	5.086093649	3.123672	1.654687	4.296064	2.338289	1.226481	1.037842545	3.101812465	3.992233506	4.888305392	0.326040258	4.048994726	2.205599184	5.898295184	0.895815143	4.342835934
SERPINB3	0.309394113	1.745564371	0.062991103	7.189585	4.808274	6.005159	1.245422	5.047368328	2.391256	7.487756	4.972972	5.146636287	1.3766273	4.503248608	0	6.078986787	0.1186405	3.050295744	4.285141721	3.20422	5.565875074	7.141297	3.973576	6.364339	1.225727302	0.7591582	2.068383	7.403831184	0.03452623	2.200733	1.054796	0.166955709	0.0097978	4.014878	6.019676	0.36178	6.825398	0.009291164	0.6684487	1.334139003	6.189885	1.097525431	2.884175	9.988998548	8.306224447	0.82211361	3.245884497	5.724226125	7.255489	7.768290839	0.546405118	7.282297806	7.117154012	0	0.0716857	0.464288919	0.2763544	3.474022	0.613336401	7.166778	7.313498	0.044191	3.660073	2.148994	6.795832014	5.025609	0.109708476	4.422482	5.662950503	0.03570601	8.104026	2.675685836	3.884864	0.180060182	8.969321	0.8296475	2.178541	3.303943	1.913071	7.365103	0.324633903	7.337499242	6.361894331	2.146725512	6.847929	5.887713887	2.194932163	0.4837294	0.2785408	5.274545	3.849405384	0	1.496858271	0.448251182	0.022353272	8.897388474	0.01009582	2.562742471	0.053283305	6.393972099	4.297386	3.886075376	5.808168	7.806305	4.91552	0.600155753	4.467569059	0.034206881	0.823121299	0.327710749	0.287021155	6.417006363	3.919472	1.649964452	0.8190519	0.03263643	5.733411976	1.254147	0.3272299	5.078407	1.706095955	5.230832428	4.983353	0.789353838	0.9768346	2.876093	0.105116254	3.39438527	0.4123678	5.947117	0.126781836	0.1953088	4.516157	1.062435989	0.03705864	0.393949509	4.349677	0.009141162	0.3920691	7.193871	1.407623835	2.467968462	1.772535724	0	0.1172287	0.2373603	0	0.4187108	5.003027283	0.881196278	7.353675	0.651530285	0.900222863	7.998418	3.923402563	4.876584	7.184940315	5.356923417	5.047524	7.716013	4.817086	5.499212	0	4.246846393	5.427079316	8.163177208	0.496791577	0.264302897	3.592341746	0.032027042	6.199379351	3.17136146	0.011089493
FGFBP1	3.188136937	6.200972406	4.533921038	6.505963	5.463479	5.006334	0.7075145	5.672048009	0.3420141	7.404982	4.357994	4.636605723	2.325732285	4.102584338	0.169299805	4.320076196	0.8828804	3.96570904	6.392891971	5.034135	7.065948906	8.599442	5.398438	7.606319	1.672351001	9.193033	1.217108	8.412778289	1.359098	4.086583	1.793789	0.887134388	0.838158122	6.952201	5.608186	3.657608	7.479135	3.657462575	8.162871	7.97210427	5.321875	0.024132336	8.430551	5.190612458	7.586959931	1.903518239	2.576399619	7.519697081	6.395369	8.11209072	2.448883037	6.437844219	4.254859225	0.01438026	0.2072707	4.296413979	0.8823222	3.196929	3.860470317	6.275041	7.932726	0.05056802	7.242151	3.962766	8.070354818	1.902158	2.692970018	7.841511	8.155686991	4.444704	6.191438	5.89053143	3.409069	0.204707046	7.167223	1.034411	5.234925	8.426972	1.48421	7.79419	2.658615357	6.969566306	9.102990932	4.087807452	7.794463	5.696360211	3.906093119	2.448606	6.969597	6.315468	4.506712515	0.317720326	1.7995448	2.011104339	4.890866174	7.665735208	0.4081463	4.602633204	2.554081719	6.518283515	4.900283	1.886246796	5.667627	7.23946	5.50533	1.409573765	4.656610685	0.277250205	3.057808414	1.862556378	7.233987896	5.345480179	5.976808	3.717453744	0.9482995	4.187429	7.171671152	1.243616	1.852264	6.980122	7.623858084	6.012496634	7.336417	0	0.38835	6.000192	2.854613893	3.525396447	6.844257	7.546804	2.324249003	3.630423	8.057586	8.796772062	2.815779	1.587522842	2.571242	0.2054977	5.631376	8.205107	6.444109174	8.090587803	2.549775342	0.1017975	1.395583	0.875374	0.106451967	0.9344064	8.194645325	1.570919802	6.802919	1.447472798	5.351123423	5.690284	7.378388386	7.082066	5.57178724	8.299492397	7.716718	7.250399	6.141815	4.311578	0.1506331	4.731893875	6.504396499	6.745797166	2.632688253	0.08743567	7.350227165	2.091458548	5.842683037	2.785736226	0.245906609
AKR1C2	1.661085356	5.016500229	0.281548296	4.897016	0.8307804	3.242285	3.685726	1.467161358	0.188999	2.955445	1.476994	3.723599832	2.362766087	0.922574539	0.32250646	5.76334341	0.4641004	0.328650502	2.955833731	7.678789	2.886498658	1.197431	4.101156	7.630507	1.063807106	0.388093	1.666072	8.253595548	0.3714953	1.337394	0.6233694	3.774811651	0.716595312	8.13265	6.928742	1.072054	1.625787	0.206059922	6.382424	4.124180449	4.632759	0.252795849	6.160424	4.188604375	2.306391285	1.035629875	1.524329171	2.739985625	6.473886	3.831108011	1.58855848	6.996217865	1.445357751	0.4980381	1.375103	1.140297363	0.6414401	0.6210563	2.093025099	2.418966	2.269136	1.306829	0.5711965	3.218634	4.065238129	1.114878	2.321428524	4.104348	7.413313192	0.3158144	4.442592	1.177104843	4.187824	0.585659607	3.112342	0.9569614	6.949462	6.884442	4.859545	7.811077	3.340232646	2.551171467	6.546382399	0.363297673	0.2369276	7.308741486	0.705409252	1.650594	8.368655	6.630323	0.017938751	1.382864011	1.998000818	0.946744334	1.387581508	3.880371149	0.9624994	1.027458563	0.886869014	8.302828393	1.49893	2.16811135	8.214941	2.411242	3.030794	3.141702219	0.711764651	0.658081593	0.598969504	0.346326847	3.073532528	5.778459431	7.42137	6.516040845	0.6966156	0.2440785	7.117459507	7.423659	0.9191155	6.754192	6.454053822	2.892819806	2.31405	0.643365597	0.582051	4.999361	1.916756518	3.16254787	0.1449752	4.288396	2.054400345	4.275132	5.758849	3.799738601	0.2851411	1.517276492	1.522867	0.05275593	6.389436	7.397872	0.980460297	7.297107783	1.434652226	3.908007	3.213003	1.166295	1.614628493	0.6247897	7.076338101	0.145466279	7.148008	0.892079357	5.419940795	3.40113	6.032252646	0.2380722	2.905447687	6.26761668	3.771422	2.606931	7.095277	1.709783	1.523224	0.950185682	2.012760041	2.691032799	0.05772722	1.293034729	2.366788297	2.65233406	0.966712514	0.915495358	0.746913125
S100A12	2.173173489	1.974274062	0.2099675	6.228911	3.794712	5.180391	0.8721109	7.382534914	3.560675	6.401192	1.329707	4.236933124	0.354221303	2.82960764	0.104852299	3.271638204	0.3111515	1.575524873	3.016041353	1.800243	2.310857712	4.717302	5.43526	5.182058	1.453631607	0.5123186	1.105312	9.079527309	0.2678954	2.273475	1.419019	0.403813767	0.457502304	2.510118	3.225301	0.2489282	6.966401	0.652169882	3.063357	6.459277766	2.827518	3.728828143	2.281606	9.46165906	5.573734313	0.719851894	1.44995519	10.565192855	6.537261	4.611708291	2.314545278	5.165489408	2.732032699	2.125656	0	0.493952516	0.7231207	2.07593	0.81456672	5.695066	6.266626	1.136151	4.303885	0.7405429	6.383115253	1.242661	0.837267502	5.063614	7.235899983	0.2251359	8.823784	3.057152141	1.927916	1.46459138	5.889905	0.9966154	1.173045	1.827027	0.4295136	5.728537	0.50614018	4.642275794	4.738843434	1.566463284	6.399382	2.309698122	2.348455526	0.8976086	1.599445	4.055791	0.647698682	2.192270955	0.821797316	0.786448829	0.445474704	5.620914903	0.3064347	3.108948671	0.561157841	5.337471386	2.17207	0.918684051	5.31442	4.977626	2.466453	0.456833905	2.608445341	1.387981065	0.285305644	0.557401192	2.140414059	4.481464826	2.389991	1.93402255	2.403914	0.06789837	6.637088438	0.3800077	1.226874	3.766593	2.229702821	6.167712026	6.758922	0.669795049	3.04288	0.8619852	1.221186214	2.586276495	1.274736	7.136295	0.649855723	0.8519696	5.429837	8.842172628	0.4101398	1.451066288	2.235395	0.1812612	2.233469	5.446381	2.633662246	0.836762102	1.049280324	0	0.1620265	0.4611678	0.554615874	4.46378	5.64217634	1.974026982	1.332245	2.870256801	0.480627862	8.693844	3.191880631	3.984268	4.583264244	2.818552403	1.749186	3.867698	1.940388	3.226849	1.383324	1.647930091	3.559682918	4.898682713	3.064634081	1.12085386	4.294806258	0.161174484	3.061478971	2.951212327	0.090863361
CALML5	0.082426724	7.957352381	0.027004382	3.450215	2.233722	2.818375	1.564303	4.333898576	0	3.639244	0.3620106	1.059698829	3.865859684	0.615113811	0.064136132	6.175987436	0	0.123167841	7.812014291	2.682333	4.974953107	6.624809	1.324538	0.9104384	0	6.472124	0.0184326	3.662436627	4.00245	6.956338	0.1533713	1.75543971	0.024759038	1.107976	3.182751	0.468093	3.308887	0.091729925	3.560758	2.828652526	1.942669	0	2.229765	9.941194068	4.718127252	0.063529406	0.738501054	4.347346694	7.635874	5.679828467	0.054289306	4.941020798	7.163839368	0	0.1001598	0.387106835	0.05553151	0.5236168	3.173244534	2.737994	4.271889	0	1.354469	1.510558	7.631785003	0.6892009	3.315922895	5.141967	6.374642291	0.03627249	7.090763	1.153091881	3.711024	0	5.423813	0.02260893	3.06195	0.3504525	0	2.614157	0.02134755	1.481341884	5.522208654	0	4.177776	2.201392412	5.903284448	0.3336511	1.62887	3.598828	0.04620372	0.026530873	0.972917436	0.254392027	0	6.634729024	0	0.185244463	0.0673429	7.070759316	0.2536737	0.041275504	3.574536	4.195072	0.1657009	0.398618319	2.990477653	0.126208998	0.034180598	0.109693762	0.091910719	2.962031788	0.3213945	9.093566865	0	0.02081084	3.934102193	5.650002	0.4359084	1.406682	1.138447349	3.112681697	10.31363	0	0.02256576	1.093488	1.082036464	3.52744192	0.02228125	1.393555	6.968237217	1.256582	6.540742	9.438678361	0.1791152	0.418733736	1.186437	0.1752602	7.903421	4.786349	1.49812283	0.728996591	6.99030219	0.9450967	0.09986659	0	0.084847246	0	1.792881746	0.039270973	4.42439	0.07829506	6.577442603	8.524785	0.461001192	4.041734	7.352444637	2.662178677	1.535496	2.808042	1.300847	1.736326	0.2914445	0	4.499042141	3.910629354	6.650019296	0	3.894002544	5.53170156	7.328951675	0.568001206	0.0280041
A2ML1	0.01981842	5.101974021	0.009586819	5.699304	4.851412	5.521743	0.7802742	6.23732902	0.2386178	7.911937	2.963297	3.862292383	0.915810945	3.471012521	0.167333197	4.338908158	0.09299655	1.110642947	0.739537649	3.09128	2.542878725	6.409592	5.614282	3.768871	1.001884588	4.134524	0.2716717	6.312758455	0.05881591	1.051787	1.337868	0.070942646	0.102049199	5.007064	3.736083	0.03333644	7.303504	0.062673391	3.067145	3.314060839	2.00782	0.037987745	0.2351266	7.411448314	9.124695029	0.062297719	1.967738802	3.557398559	6.939599	7.457072847	0.28808268	7.324805997	1.228006254	0.04500986	0.01938859	0.823639954	0.03074591	0.1683823	2.900687312	7.394784	7.829097	0.07646822	1.352593	1.006747	7.039618063	1.863006	0.298223624	5.209022	4.376220087	0.09407748	8.086331	1.76859771	4.107477	0.052249481	8.558108	0.09088576	0.4973934	2.583044	0.014125	4.786061	0.132823343	6.36684778	7.142062125	0.01663281	3.344494	2.632317067	3.346078251	0.09262897	0.08672426	1.511223	0.414711802	0.021879805	2.489249071	0.036616959	1.255776498	8.429546918	0.02103505	3.273877514	0.01345184	4.588955298	0.03862451	0.053183248	3.702947	7.309615	1.977781	0.956224538	5.622490245	0.116676579	0.202726066	0.120810888	0.07874045	6.215575715	3.406504	1.913266256	0.5495257	0.03170156	6.346875145	3.886409	0.1127095	3.331744	3.933972897	6.537243156	6.738733	0.034466553	0.07047826	1.315471	0.156997092	2.942577731	0.06960407	5.709106	1.530490336	0.2280953	5.228505	6.988030989	0.03982241	0.079003007	4.489446	0.02445055	3.474607	4.479327	2.296943225	0.102642544	5.712091822	0.04689651	0.1279449	0.007208806	0.076730717	0.01869393	5.1688218	0.059624651	2.972949	0.093881656	0.981855177	6.76811	3.495713561	1.39083	6.203042395	5.908666652	0.9150636	5.685792	3.448844	5.378163	0.02095187	3.124422781	3.362277396	8.298474104	7.43824225	0.065582075	1.251545205	3.237355474	3.366610002	1.22839824	0.472300743
ABCC1	4.059852818	5.189463398	3.022596532	5.432925	4.228639	3.716456	2.973139	4.334533685	3.343425	4.672023	3.578331	3.403059904	4.776116818	4.236879324	3.728105193	6.295622121	4.378002	3.731785724	3.536739991	5.457312	4.641153987	4.529191	4.756355	6.447588	4.099028218	5.384293	4.101641	7.070082845	3.211088	3.138291	3.874385	3.603393595	3.537241458	7.718133	6.605846	5.15114	3.865138	4.105493618	6.238554	5.568135765	5.309873	4.8148118	7.192262	4.214747306	4.155572024	4.055442609	4.153369126	3.779585364	6.942247	4.545924434	4.084742751	5.238146341	5.447478264	4.099044	3.652668	4.033006425	4.930694	3.947751	5.048078266	3.724854	3.673883	4.069621	6.433276	5.526948	4.365812059	3.346495	6.037048772	4.372995	6.124784027	4.660684	4.249948	4.2396242	3.59197	3.734209097	4.619775	3.802354	7.28464	6.197831	4.204944	6.279927	4.091336504	4.050217115	5.0720425	3.627613702	3.854667	7.019938167	4.695768678	4.046744	6.767321	6.916242	3.825850742	3.263311544	3.640431302	5.189270266	4.05064519	4.683727461	3.615302	4.064931086	4.241976456	6.746856954	4.085454	3.640565046	6.308695	5.125592	4.636875	4.737589871	5.465895785	3.88958981	4.676193726	4.115603076	4.051136645	5.912637791	6.941104	3.52434384	3.820541	4.725344	6.733728626	4.2727	3.677233	7.799901	7.262737066	4.783087827	5.056522	3.427898124	3.56434	5.36375	4.130970855	4.398038017	3.761599	4.390644	3.839320008	3.510941	4.850898	3.262672132	3.333145	4.547077471	4.164987	4.299279	6.202335	7.121378	3.283235135	6.64555293	5.209282033	4.197492	4.119154	3.874838	3.621643722	3.984237	7.25663766	3.910947518	6.263273	4.459200185	3.582109753	3.705574	6.690228976	5.150709	3.80177839	7.228656076	4.278682	4.107861	6.491926	3.424609	2.648244	4.264748999	4.776046641	4.455669711	5.333362382	3.17525603	4.614320444	3.838351273	4.397608312	4.424027889	3.922906127
