CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
ACC	0.322593074	0.066742828	0.203075136	0.275792169	0.141546001	0.874370428	0.233839269	0.203363756	0.203363756	0.037683775	0.034559429	0.15415853	0.188783127
BLCA	0.930884304	0.102218556	0.556792348	0.11202682	0.669194531	0.020396256	0.920753378	0.023332812	0.023332812	5.26E-01	3.14E-06	1.96E-05	0.000395471
BRCA	0.001617796	5.42E-09	7.23E-05	0.377199493	0.962334863	7.80E-32	3.42E-11	0.161772191	0.161772191	2.34E-15	1.48E-11	0.01744926	0.877293259
CESC	0.050817946	0.72408256	0.116453749	0.056980165	2.52E-06	0.013347293	0.022722064	0.919503208	0.919503208	1.42E-06	0.004238536	5.83E-06	0.275022096
CHOL	0.00063304	0.000669464	2.42E-06	0.041132549	9.65E-05	0.03309943	0.186600288	0.000681662	0.000681662	0.002075486	0.015714509	0.010966632	0.312136214
COAD	2.76E-07	5.15E-06	2.13E-08	4.67E-08	1.59E-12	2.12E-08	0.769388006	1.68E-09	1.68E-09	6.93E-10	1.40E-14	6.82E-05	3.47E-08
DLBC	0.864111664	0.377464111	0.145639824	0.613966632	0.291955254	0.371716997	0.131723964	0.507939521	0.507939521	0.061093505	0.004411086	0.396304519	0.486761717
ESCA	0.277828101	0.016437078	0.027662008	0.379849729	0.007020021	0.024394116	0.000108758	2.34E-12	2.34E-12	0.185895912	7.11E-01	0.082467914	2.55E-09
GBM	0.003337515	0.189974687	0.341651369	5.65E-05	0.201545716	0.000669245	0.016633307	0.482684214	0.482684214	0.160213725	0.015249991	0.000593377	0.01156427
HNSC	0.001229483	0.000276669	0.137012701	0.796906874	0.770585897	6.10E-20	0.011145007	0.049054545	0.049054545	0.226678755	9.83E-01	0.209267975	0.001503092
KICH	0.057638254	0.296851147	0.100833747	0.407930524	0.037322803	0.093651277	0.014672093	0.922551186	0.922551186	0.012422578	0.202963272	0.192742113	0.330640528
KIRC	6.73E-20	4.63E-20	1.50E-05	4.65E-21	1.46E-22	0.581685898	0.001138629	0.000106444	0.000106444	1.90E-16	6.47E-07	1.91E-08	0.009555758
KIRP	3.53E-06	3.37E-09	6.72E-08	3.33E-06	5.74E-08	2.73E-10	0.0002339	5.62E-05	5.62E-05	2.50E-10	0.000174715	0.279155346	0.29582715
LGG	0.072844955	1.07E-11	0.131035678	3.86E-06	0.00023109	6.05E-10	0.328071111	0.688384513	0.688384513	4.87E-10	1.35E-14	8.43E-06	0.957413247
LIHC	2.18E-05	0.000104812	1.53E-05	9.19E-06	1.20E-09	0.000827789	0.476388748	0.031737434	0.031737434	4.63E-10	6.24E-09	0.023769659	0.516738433
LUAD	5.01E-09	0.01568164	0.002055199	2.08E-09	7.14E-15	0.001894773	0.002879888	0.008923629	0.008923629	1.09E-05	4.07E-15	1.07E-05	0.005183084
LUSC	1.03E-07	7.91E-09	0.001588602	7.76E-12	1.06E-13	0.128374244	0.012113872	0.000511403	0.000511403	8.14E-04	3.35E-04	1.77E-06	7.30E-08
MESO	0.498414156	0.001861929	0.010377493	0.48178345	0.01109494	0.001055583	0.146268237	0.337028219	0.337028219	0.153344749	0.040352981	0.254651527	0.376374255
OV	0.935725466	0.087123659	0.582710592	0.944501012	0.664915834	0.454443154	0.59775999	0.295475897	0.295475897	0.355529229	0.652985782	0.02693529	0.143024874
PAAD	0.166057973	0.000593422	0.009753565	0.000437573	0.00218904	0.036625025	0.304937813	0.025479777	0.025479777	0.005728212	0.000443913	0.015972585	0.063080259
PCPG	0.032358523	0.099759025	0.216879056	0.004465693	0.003204594	0.011544515	0.010684745	0.474312194	0.474312194	0.058938646	0.000324164	0.057979395	0.708814014
