CancerType	CD4+ T 	CD8+ T 	B Cell	Neutrophil	mDC	Th1	Th2	Tregs	NK 	Macrophage M1	Macrophage M2	Macrophage	MDSC
ACC	0.243057288	0.243057288	0.081174276	0.120599292	-0.105879619	0.134111071	0.599129646	-0.112974028	0.095733689	0.100675707	0.316111318	0.071483342	0.629520482
BLCA	0.132878424	0.132878424	0.001809898	0.098209171	0.141376381	0.157782858	0.210201772	-0.074286989	-0.049653455	-0.10854927	0.07630015	1.03E-01	0.216052444
BRCA	0.049414826	0.049414826	-0.008628512	-0.077055417	-0.013883328	0.002705967	-0.127667409	0.052254989	-0.108255698	0.003668299	-0.068268196	-0.002481776	0.063585836
CESC	0.114798919	0.114798919	0.120169593	0.143638218	0.093827779	-0.035913552	0.012374828	0.056232698	-0.153156349	0.044298082	0.073450078	1.58E-01	0.056066665
CHOL	0.096522655	0.096522655	0.093062579	-0.078327619	0.010085917	-0.035998787	0.339925193	0.03680165	0.127425421	0.151402981	-0.12811629	0.258533585	0.08768309
COAD	0.273493052	0.273493052	-0.007812633	0.316390512	0.273053898	0.173404443	0.154225951	-0.049437577	0.249771435	0.076486255	0.113074455	2.23E-01	0.017468362
DLBC	0.22099361	0.22099361	0.063269567	0.118783945	0.161815865	0.077242528	0.060030255	-0.003259903	0.049501987	-0.233433826	0.117532561	0.238631788	-0.21734573
ESCA	0.039861285	0.039861285	-0.210297928	0.230155673	0.203505945	0.182264706	0.273934715	-0.377284226	0.306327975	-0.021268826	0.202446876	0.117419038	0.476148318
GBM	-0.022021732	-0.022021732	0.280217142	-0.038921063	0.148037144	0.343200241	0.046892761	-0.0641157	-0.107234654	0.022548136	0.023960584	0.008983464	0.14252069
HNSC	-0.067656823	-0.067656823	0.074521028	0.304086501	0.101964354	0.050650047	0.0451262	0.235526322	0.008067637	-0.04743252	0.086328818	0.318885981	-0.089512464
KICH	-0.089826862	-0.089826862	0.024871638	0.061748297	0.196504081	-0.058100738	0.291262237	0.028176948	-0.291628805	0.153967683	0.129958209	-0.077854638	0.156899489
KIRC	0.128364199	0.128364199	0.119790347	0.261906737	0.327803476	0.215993852	0.341020114	0.317017102	0.003245652	-0.098722504	0.032872262	2.16E-01	-0.092996107
KIRP	0.133664284	0.133664284	0.247875019	0.16672732	0.156137356	-0.115235059	0.245283183	0.176477875	0.050511526	-0.006007051	-0.030521906	0.228874057	0.172403869
LGG	-0.17468316	-0.17468316	0.121348732	0.193153369	0.135705279	0.092902631	0.24092646	-0.005121535	0.008873225	0.111800581	0.052895441	1.23E-01	0.254272783
LIHC	0.19935426	0.19935426	0.151436994	0.171672585	0.16247653	0.043233461	0.300812275	0.202208146	-0.028636826	0.080103072	0.120922199	0.310413849	0.228592777
LUAD	0.102232991	0.102232991	0.058467832	0.221576687	0.16881315	0.112021301	-0.12925992	0.181065573	-0.036803044	0.031061915	0.201753707	2.07E-01	-0.01317832
LUSC	0.008477349	0.008477349	-0.0274327	0.154936223	0.042815793	0.109113081	-0.271030317	0.15797284	-0.102595623	-0.087388173	0.25283642	3.75E-02	0.135533545
MESO	-0.039487448	-0.039487448	0.126182052	0.009419557	0.260251559	0.024387454	0.276907134	0.358484845	-0.027068988	-0.180359911	-0.117127815	0.169571444	0.093146981
OV	0.062198663	0.062198663	-0.082160729	-0.038668156	-0.008392676	0.094875619	0.02278234	0.068448957	-0.144440786	0.064874935	0.026810397	0.062108215	0.116082554
PAAD	-0.040229249	-0.040229249	0.134767835	0.077580622	0.122480362	0.14986076	0.20750209	0.035746644	0.323251169	-0.067843735	0.336183227	-0.019767939	0.469080028
PCPG	-0.021034079	-0.021034079	0.092550632	0.010645907	0.143104287	0.084659324	0.190438604	0.17959263	0.022681709	-0.00890346	0.039510046	0.041596993	0.102672277
PRAD	0.230581249	0.230581249	0.09704798	0.363041797	0.218628904	-0.02249298	-0.170837817	0.012850687	-0.019163365	0.304732972	0.005659781	1.54E-01	-0.161723602
