ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-OR-A5JP-01A	-683.6291074	-702.9972896	-1386.626397	0.920496725	ACC
TCGA-OR-A5JG-01A	-772.0569181	-210.0765333	-982.1334514	0.895687535	ACC
TCGA-OR-A5LG-01A	-473.8429512	280.6894629	-193.1534883	0.838302278	ACC
TCGA-OR-A5JR-01A	-842.6742131	195.0139375	-647.6602756	0.872784444	ACC
TCGA-OR-A5KU-01A	-942.1068162	-808.4075551	-1750.514371	0.940045717	ACC
TCGA-OR-A5LS-01A	-1294.977623	-830.9604539	-2125.938077	0.957403612	ACC
TCGA-OR-A5L9-01A	-164.4170221	1026.508722	862.0917001	0.744151708	ACC
TCGA-OR-A5JQ-01A	-3.813062655	704.3096979	700.4966353	0.759786284	ACC
TCGA-OR-A5K4-01A	-1630.864866	-835.1002192	-2465.965086	0.970617578	ACC
TCGA-OR-A5JL-01A	-1095.984206	-49.13355697	-1145.117763	0.906068912	ACC
TCGA-OR-A5LC-01A	-528.9615096	-413.8037028	-942.7652124	0.893102853	ACC
TCGA-OR-A5K2-01A	-788.4495391	-117.7083235	-906.1578626	0.890672673	ACC
TCGA-P6-A5OG-01A	883.2645294	1887.330275	2770.594804	0.530438667	ACC
TCGA-OR-A5JW-01A	-936.6290486	-293.5485253	-1230.177574	0.911281265	ACC
TCGA-OR-A5KO-01A	-1422.52214	-1022.743663	-2445.265803	0.969881973	ACC
TCGA-OR-A5J8-01A	1495.865701	1945.707321	3441.573022	0.444509063	ACC
TCGA-PA-A5YG-01A	70.45026859	1050.986915	1121.437184	0.718188251	ACC
TCGA-OR-A5KV-01A	-1305.461054	-1080.006294	-2385.467348	0.9677066	ACC
TCGA-OR-A5L4-01A	-467.8422306	-123.7715713	-591.6138018	0.86873932	ACC
TCGA-OR-A5KX-01A	-1276.503116	-400.9139202	-1677.417036	0.936332278	ACC
TCGA-OR-A5L8-01A	-867.8673371	-1010.300142	-1878.167479	0.946270881	ACC
TCGA-OR-A5JO-01A	712.2653175	1980.648487	2692.913804	0.540070283	ACC
TCGA-OR-A5JA-01A	-1289.395447	-249.4885893	-1538.884036	0.928999244	ACC
TCGA-OR-A5LO-01A	-1407.928396	-1179.238254	-2587.16665	0.974744744	ACC
TCGA-OR-A5JM-01A	-1359.889854	-1106.419145	-2466.309	0.970629724	ACC
TCGA-OR-A5JV-01A	-53.54091497	1426.998039	1373.457124	0.691960791	ACC
TCGA-OR-A5JB-01A	-502.7955897	1796.860306	1294.064717	0.700326961	ACC
TCGA-OR-A5LA-01A	-7.585413635	1022.649211	1015.063797	0.728965509	ACC
TCGA-OR-A5JE-01A	-704.1590504	89.36671782	-614.7923326	0.870419364	ACC
TCGA-OR-A5JZ-01A	-808.5371426	72.38971924	-736.1474234	0.879050594	ACC
TCGA-OR-A5KT-01A	377.340663	1113.780594	1491.121257	0.679389136	ACC
TCGA-OR-A5KZ-01A	-520.4962027	-190.5099388	-711.0061415	0.87728527	ACC
TCGA-OR-A5LJ-01A	-1269.203058	-219.9613285	-1489.164387	0.926273572	ACC
TCGA-OR-A5LB-01A	-1214.127613	-952.9790868	-2167.1067	0.959131076	ACC
TCGA-OR-A5LT-01A	-1146.601207	-595.2205861	-1741.821793	0.939609784	ACC
TCGA-OR-A5LD-01A	-1149.291071	-897.8276031	-2047.118674	0.953998801	ACC
TCGA-OR-A5J2-01A	-493.0310096	-352.4517209	-845.4827305	0.886588147	ACC
TCGA-PK-A5HB-01A	-877.6492003	-404.9323876	-1282.581588	0.914421844	ACC
TCGA-OR-A5JS-01A	-1316.005206	-673.3910564	-1989.396263	0.951424299	ACC
TCGA-OR-A5K6-01A	-796.6530389	-16.89668187	-813.5497208	0.884410215	ACC
TCGA-OR-A5JY-01A	-956.9142897	101.0910482	-855.8232415	0.887289229	ACC
TCGA-OR-A5JT-01A	-1003.032028	-290.8009342	-1293.832962	0.91508909	ACC
TCGA-PK-A5H8-01A	-866.2019205	-41.75018908	-907.9521096	0.890792384	ACC
TCGA-OR-A5JX-01A	-779.6230651	-169.4900525	-949.1131176	0.893521638	ACC
TCGA-OR-A5LK-01A	-157.463909	1640.427563	1482.963654	0.680267305	ACC
TCGA-P6-A5OF-01A	-645.5042994	-343.1559065	-988.660206	0.896113154	ACC
TCGA-OR-A5JI-01A	63.49792422	498.7015474	562.1994716	0.772827608	ACC
TCGA-OR-A5K5-01A	-1189.530832	-491.7441886	-1681.27502	0.936530967	ACC
TCGA-OR-A5JC-01A	-710.1315146	-66.90738521	-777.0388998	0.881896254	ACC
TCGA-OR-A5KW-01A	-936.704841	-768.867881	-1705.572722	0.937775411	ACC
TCGA-OR-A5JJ-01A	-1094.67833	-579.2524388	-1673.930769	0.936152475	ACC
TCGA-OR-A5JD-01A	-568.004989	613.5899229	45.58493385	0.818685282	ACC
TCGA-OR-A5LM-01A	-1092.447128	-297.455387	-1389.902515	0.920684528	ACC
TCGA-PK-A5HA-01A	106.6153748	918.0533281	1024.668703	0.727999645	ACC
TCGA-OR-A5JF-01A	-859.3995424	-671.714707	-1531.114249	0.928576556	ACC
TCGA-OR-A5LH-01A	-1049.864865	125.6238311	-924.2410339	0.891876344	ACC
TCGA-OR-A5K1-01A	-602.5893113	131.9643708	-470.6249404	0.859806912	ACC
TCGA-OR-A5LN-01A	-481.6537961	1115.12792	633.4741237	0.766145895	ACC
TCGA-OR-A5LE-01A	-1642.411885	-1124.235518	-2766.647403	0.98028937	ACC
TCGA-OR-A5L3-01A	-1042.048285	-238.0100716	-1280.058357	0.914271865	ACC
TCGA-OU-A5PI-01A	-528.5596378	-702.4678347	-1231.027473	0.911332631	ACC
TCGA-OR-A5K8-01A	-1014.692698	-325.5233252	-1340.216023	0.917813397	ACC
TCGA-OR-A5K0-01A	-1440.552044	-556.2148475	-1996.766891	0.951756847	ACC
TCGA-OR-A5KY-01A	-392.1936104	-139.9110573	-532.1046677	0.864379927	ACC
TCGA-OR-A5J9-01A	-940.584933	-600.2909079	-1540.875841	0.929107406	ACC
TCGA-OR-A5J1-01A	-981.9492194	-148.0340088	-1129.983228	0.905126662	ACC
TCGA-OR-A5J5-01A	-1528.653166	-551.0258534	-2079.67902	0.955420837	ACC
TCGA-OR-A5L6-01A	-747.1107405	248.8844401	-498.2263004	0.861868654	ACC
TCGA-OR-A5LP-01A	173.1591046	481.7446354	654.90374	0.764120523	ACC
TCGA-OR-A5K9-01A	-947.5805316	-722.5450277	-1670.125559	0.935955942	ACC
TCGA-OR-A5J7-01A	-1082.663361	-622.9922098	-1705.655571	0.937779634	ACC
TCGA-PK-A5H9-01A	-260.780952	189.9045848	-70.87636719	0.82838195	ACC
TCGA-OR-A5LR-01A	-546.1736113	-22.87227528	-569.0458866	0.867093873	ACC
TCGA-OR-A5JK-01A	-192.9955759	1394.706772	1201.711196	0.709939191	ACC
TCGA-OR-A5J6-01A	-607.0393769	562.6096231	-44.42975373	0.826201127	ACC
TCGA-OR-A5LL-01A	-948.1729587	-444.6255007	-1392.798459	0.920850362	ACC
TCGA-OR-A5K3-01A	-893.3742544	264.4600234	-628.9142309	0.87143802	ACC
