ID	TP53	TP63	TP73	Type	CancerType
TCGA-AV-A03D-20	0.945889381	0.289601182	0.017183679	Normal	ACC
TCGA-OR-A5J1-01	0.937352204	0.841152566	0.019050217	Tumor	ACC
TCGA-OR-A5J2-01	0.41427975	0.152031554	0.028234886	Tumor	ACC
TCGA-OR-A5J3-01	0.946193704	0.069946664	0.020262494	Tumor	ACC
TCGA-OR-A5J4-01	0.954870995	0.394162612	0.016576376	Tumor	ACC
TCGA-OR-A5J5-01	0.963237472	0.920184092	0.016778539	Tumor	ACC
TCGA-OR-A5J6-01	0.943220338	0.495150125	0.028080067	Tumor	ACC
TCGA-OR-A5J7-01	0.945042872	0.85556608	0.027424913	Tumor	ACC
TCGA-OR-A5J8-01	0.95039572	0.640036463	0.080187957	Tumor	ACC
TCGA-OR-A5J9-01	0.94854243	0.863984424	0.022380074	Tumor	ACC
TCGA-OR-A5JA-01	0.933719619	0.475631232	0.060968131	Tumor	ACC
TCGA-OR-A5JB-01	0.960217901	0.483351752	0.015652778	Tumor	ACC
TCGA-OR-A5JC-01	0.946704887	0.434881116	0.02135244	Tumor	ACC
TCGA-OR-A5JD-01	0.948957892	0.756418049	0.022468223	Tumor	ACC
TCGA-OR-A5JE-01	0.946417008	0.819947499	0.021574671	Tumor	ACC
TCGA-OR-A5JF-01	0.962561965	0.848169077	0.026034574	Tumor	ACC
TCGA-OR-A5JG-01	0.941651599	0.902273165	0.021578606	Tumor	ACC
TCGA-OR-A5JI-01	0.941649609	0.776192909	0.019838748	Tumor	ACC
TCGA-OR-A5JJ-01	0.950390329	0.686917949	0.016467724	Tumor	ACC
TCGA-OR-A5JK-01	0.900106579	0.564694719	0.019276347	Tumor	ACC
TCGA-OR-A5JL-01	0.943535325	0.375602612	0.040137824	Tumor	ACC
TCGA-OR-A5JM-01	0.927743823	0.90261923	0.020804856	Tumor	ACC
TCGA-OR-A5JO-01	0.945070705	0.601436496	0.01902394	Tumor	ACC
TCGA-OR-A5JP-01	0.941971872	0.804509183	0.01902448	Tumor	ACC
TCGA-OR-A5JQ-01	0.646182962	0.630241596	0.025327235	Tumor	ACC
TCGA-OR-A5JR-01	0.964672084	0.817923008	0.026915054	Tumor	ACC
TCGA-OR-A5JS-01	0.810698289	0.908444337	0.0215051	Tumor	ACC
TCGA-OR-A5JT-01	0.956012273	0.530670031	0.026575486	Tumor	ACC
TCGA-OR-A5JV-01	0.942820576	0.563521976	0.026205155	Tumor	ACC
TCGA-OR-A5JW-01	0.954396845	0.87854365	0.017910268	Tumor	ACC
TCGA-OR-A5JX-01	0.94155229	0.526334324	0.024081063	Tumor	ACC
TCGA-OR-A5JY-01	0.948695856	0.328727622	0.020642243	Tumor	ACC
TCGA-OR-A5JZ-01	0.949114087	0.054995728	0.019018939	Tumor	ACC
TCGA-OR-A5K0-01	0.930047389	0.069083451	0.032732083	Tumor	ACC
TCGA-OR-A5K1-01	0.949478412	0.58120636	0.019029812	Tumor	ACC
TCGA-OR-A5K2-01	0.934626391	0.883866816	0.020780665	Tumor	ACC
